timestamp, state, clock ID, one way delay, offset from master, slave to master, master to slave, drift
2011-07-27 13:57:54:697572, slv, 0050c2fffed28deb/01, 0.000000000, 0.000020610, 0.000000000, 0.000017890, -4446
2011-07-27 13:57:55:687078, slv, 0050c2fffed28deb/01, 0.000000000, 0.000020250, 0.000000000, 0.000022610, -4426
2011-07-27 13:57:56:696725, slv, 0050c2fffed28deb/01, 0.000000000, 0.000020730, 0.000000000, 0.000018850, -4406
2011-07-27 13:57:57:827686, slv, 0050c2fffed28deb/01, 0.000000000, 0.000020870, 0.000000000, 0.000022890, -4386
2011-07-27 13:57:58:856832, slv, 0050c2fffed28deb/01, 0.000000000, 0.000021570, 0.000000000, 0.000020250, -4365
2011-07-27 13:57:59:857191, slv, 0050c2fffed28deb/01, 0.000000000, 0.000021930, 0.000000000, 0.000023610, -4344
2011-07-27 13:58:00:967729, slv, 0050c2fffed28deb/01, 0.000000000, 0.000023370, 0.000000000, 0.000023130, -4321
2011-07-27 13:58:01:997553, slv, 0050c2fffed28deb/01, 0.000000000, 0.000022830, 0.000000000, 0.000022530, -4299
2011-07-27 13:58:02:996945, slv, 0050c2fffed28deb/01, 0.000000000, 0.000022350, 0.000000000, 0.000022170, -4277
2011-07-27 13:58:04:137570, slv, 0050c2fffed28deb/01, 0.000000000, 0.000022310, 0.000000000, 0.000022450, -4255
2011-07-27 13:58:05:148697, slv, 0050c2fffed28deb/01, 0.000000000, 0.000021830, 0.000000000, 0.000021210, -4234
2011-07-27 13:58:06:167498, slv, 0050c2fffed28deb/01, 0.000000000, 0.000021110, 0.000000000, 0.000021010, -4213
2011-07-27 13:58:07:318154, slv, 0050c2fffed28deb/01, 0.000000000, 0.000020550, 0.000000000, 0.000020090, -4193
2011-07-27 13:58:08:347288, slv, 0050c2fffed28deb/01, 0.000000000, 0.000020550, 0.000000000, 0.000021010, -4173
2011-07-27 13:58:09:347636, slv, 0050c2fffed28deb/01, 0.000000000, 0.000021190, 0.000000000, 0.000021370, -4152
2011-07-27 13:58:10:457547, slv, 0050c2fffed28deb/01, 0.000000000, 0.000021150, 0.000000000, 0.000020930, -4131
2011-07-27 13:58:11:497780, slv, 0050c2fffed28deb/01, 0.000000000, 0.000019810, 0.000000000, 0.000018690, -4112
2011-07-27 13:58:12:497425, slv, 0050c2fffed28deb/01, 0.000000000, 0.000019370, 0.000000000, 0.000020050, -4093
2011-07-27 13:58:13:638546, slv, 0050c2fffed28deb/01, 0.000000000, 0.000019770, 0.000000000, 0.000019490, -4074
2011-07-27 13:58:14:677515, slv, 0050c2fffed28deb/01, 0.000000000, 0.000018810, 0.000000000, 0.000018130, -4056
2011-07-27 13:58:15:678125, slv, 0050c2fffed28deb/01, 0.000000000, 0.000018850, 0.000000000, 0.000019570, -4038
2011-07-27 13:58:16:808466, slv, 0050c2fffed28deb/01, 0.000000000, 0.000019270, 0.000000000, 0.000018970, -4019
2011-07-27 13:58:17:828091, slv, 0050c2fffed28deb/01, 0.000000000, 0.000018650, 0.000000000, 0.000018330, -4001
2011-07-27 13:58:18:827720, slv, 0050c2fffed28deb/01, 0.000000000, 0.000018950, 0.000000000, 0.000019570, -3983
2011-07-27 13:58:19:899126, slv, 0050c2fffed28deb/01, 0.000000000, 0.000018710, 0.000000000, 0.000017850, -3965
2011-07-27 13:58:20:937806, slv, 0050c2fffed28deb/01, 0.000000000, 0.000017650, 0.000000000, 0.000017450, -3948
2011-07-27 13:58:21:938288, slv, 0050c2fffed28deb/01, 0.000000000, 0.000017690, 0.000000000, 0.000017930, -3931
2011-07-27 13:58:23:079030, slv, 0050c2fffed28deb/01, 0.000000000, 0.000017430, 0.000000000, 0.000016930, -3914
2011-07-27 13:58:24:098003, slv, 0050c2fffed28deb/01, 0.000000000, 0.000017810, 0.000000000, 0.000018690, -3897
2011-07-27 13:58:25:098350, slv, 0050c2fffed28deb/01, 0.000000000, 0.000017710, 0.000000000, 0.000016730, -3880
2011-07-27 13:58:26:238661, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016890, 0.000000000, 0.000017050, -3864
2011-07-27 13:58:27:268492, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016790, 0.000000000, 0.000016530, -3848
2011-07-27 13:58:28:268196, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016910, 0.000000000, 0.000017290, -3832
2011-07-27 13:58:29:379077, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016950, 0.000000000, 0.000016610, -3816
2011-07-27 13:58:30:398647, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016610, 0.000000000, 0.000016610, -3800
2011-07-27 13:58:31:398673, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016150, 0.000000000, 0.000015690, -3784
2011-07-27 13:58:32:548555, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016590, 0.000000000, 0.000017490, -3768
2011-07-27 13:58:33:568809, slv, 0050c2fffed28deb/01, 0.000000000, 0.000016850, 0.000000000, 0.000016210, -3752
2011-07-27 13:58:34:568472, slv, 0050c2fffed28deb/01, 0.000000000, 0.000015750, 0.000000000, 0.000015290, -3737
2011-07-27 13:58:35:699028, slv, 0050c2fffed28deb/01, 0.000000000, 0.000015290, 0.000000000, 0.000015290, -3722
2011-07-27 13:58:36:729000, slv, 0050c2fffed28deb/01, 0.000000000, 0.000015190, 0.000000000, 0.000015090, -3707
2011-07-27 13:58:37:729039, slv, 0050c2fffed28deb/01, 0.000000000, 0.000015270, 0.000000000, 0.000015450, -3692
2011-07-27 13:58:38:879220, slv, 0050c2fffed28deb/01, 0.000000000, 0.000015230, 0.000000000, 0.000015010, -3677
2011-07-27 13:58:39:898756, slv, 0050c2fffed28deb/01, 0.000000000, 0.000014890, 0.000000000, 0.000014770, -3663
2011-07-27 13:58:40:899175, slv, 0050c2fffed28deb/01, 0.000000000, 0.000014850, 0.000000000, 0.000014930, -3649
2011-07-27 13:58:41:989068, slv, 0050c2fffed28deb/01, 0.000000000, 0.000014970, 0.000000000, 0.000015010, -3635
